Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Date,Delivery_Term,City,price_per_m2,total_rooms,Log_Price,Log_Area
0,550000.0,3.0,1.0,90.0,0,2,cash,ready_to_move,1,60,6111.111111111111,4.0,13.217675375388819,4.51085950651685
2,1100000.0,4.0,3.0,282.0,0,Ground,cash or installment,unknown,3,3,3900.709219858156,7.0,13.910821646859095,5.645446897643238
0,550000.0,2.0,1.0,85.0,0,2,installment,ready_to_move,1,39,6470.588235294118,3.0,13.217675375388819,4.454347296253507
0,1000000.0,2.0,1.0,100.0,0,9,cash,unknown,4,117,10000.0,3.0,13.815511557963774,4.61512051684126
0,657400.0,3.0,2.0,134.0,0,4,installment,2024,3,122,4905.9701492537315,5.0,13.396049461355,4.90527477843843
0,810000.0,3.0,1.0,140.0,2,5,cash,ready_to_move,1,111,5785.714285714285,4.0,13.60479076121576,4.948759890378168
0,1446394.0,3.0,2.0,158.0,0,4,unknown payment,ready_to_move,3,119,9154.39240506329,5.0,14.184584811755666,5.0689042022202315
0,1750000.0,3.0,2.0,160.0,0,5,cash,ready_to_move,1,66,10937.5,5.0,14.375126917328105,5.081404364984463
0,1691150.0,3.0,2.0,154.5,0,Ground,cash or installment,within_6_months,4,119,10945.954692556634,5.0,14.340919920168437,5.0466457316192885
0,362000.0,3.0,3.0,160.0,1,2,cash or installment,ready_to_move,4,119,2262.5,6.0,12.799402253235032,5.081404364984463
0,1995000.0,2.0,1.0,100.0,0,1,cash or installment,ready_to_move,1,13,19950.0,3.0,14.506155109559108,4.61512051684126
2,4300000.0,3.0,3.0,380.0,0,Ground,cash,ready_to_move,1,159,11315.78947368421,6.0,15.274125813221904,5.942799375126701
0,3320000.0,3.0,3.0,164.0,0,2,cash or installment,2024,2,119,20243.90243902439,6.0,15.015475642097446,5.10594547390058
0,1500000.0,3.0,1.0,150.0,1,7,cash,ready_to_move,1,4,10000.0,4.0,14.220976332738882,5.017279836814924
0,2770000.0,2.0,2.0,128.0,0,Ground,cash or installment,within_6_months,3,161,21640.625,4.0,14.834358239174286,4.859812404361672
0,1984000.0,4.0,3.0,224.0,0,Ground,cash or installment,2024,3,119,8857.142857142857,7.0,14.500626070859086,5.41610040220442
0,1350000.0,2.0,2.0,150.0,1,2,cash,unknown,4,59,9000.0,4.0,14.115615891155079,5.017279836814924
0,2150000.0,3.0,2.0,200.0,2,8,cash or installment,ready_to_move,1,91,10750.0,5.0,14.580978865220017,5.303304908059076
0,550000.0,3.0,2.0,135.0,0,1,cash or installment,ready_to_move,3,69,4074.074074074074,5.0,13.217675375388819,4.912654885736052
0,3000000.0,3.0,2.0,200.0,2,10,cash,ready_to_move,1,117,15000.0,5.0,14.914123179965662,5.303304908059076
0,1750000.0,3.0,2.0,166.0,0,1,cash,ready_to_move,3,159,10542.168674698794,5.0,14.375126917328105,5.117993812416755
0,2500000.0,2.0,1.0,143.0,1,5,cash,unknown,1,93,17482.517482517484,3.0,14.731801689838349,4.969813299576001
0,350000.0,2.0,1.0,85.0,0,4,cash,ready_to_move,1,74,4117.64705882353,3.0,12.765691290604371,4.454347296253507
0,1396000.0,3.0,3.0,179.0,1,Ground,cash or installment,2024,3,3,7798.882681564246,6.0,14.149122278636577,5.19295685089021
0,1180000.0,3.0,1.0,130.0,0,4,cash,ready_to_move,1,3,9076.923076923076,4.0,13.981025843899115,4.875197323201151
0,3100000.0,3.0,3.0,183.0,0,2,cash,ready_to_move,1,93,16939.890710382515,6.0,14.946912992035967,5.214935757608986
0,1805000.0,2.0,2.0,105.0,1,Ground,installment,2024,3,159,17190.47619047619,4.0,14.406071703765585,4.663439094112067
2,335000.0,5.0,2.0,189.0,0,5,cash,ready_to_move,2,46,1772.4867724867725,7.0,12.721888795877375,5.247024072160486
0,1000000.0,3.0,2.0,100.0,0,2,cash,ready_to_move,1,98,10000.0,5.0,13.815511557963774,4.61512051684126
0,875000.0,3.0,2.0,150.0,0,2,cash or installment,2024,3,3,5833.333333333333,5.0,13.681980308196241,5.017279836814924
0,1750000.0,4.0,3.0,210.0,0,2,cash or installment,unknown,3,3,8333.333333333334,7.0,14.375126917328105,5.351858133476067
0,1500000.0,4.0,2.0,170.0,2,8,cash,unknown,4,111,8823.529411764706,6.0,14.220976332738882,5.14166355650266
0,2950000.0,1.0,1.0,106.0,0,Ground,cash,ready_to_move,3,159,27830.188679245282,2.0,14.897316067298997,4.672828834461906
5,2704082.0,1.0,2.0,59.0,1,10+,installment,unknown,1,159,45831.898305084746,3.0,14.810273410940173,4.0943445622221
0,2700000.0,2.0,2.0,123.0,0,2,installment,ready_to_move,0,119,21951.219512195123,4.0,14.80876270134486,4.820281565605037
0,1526400.0,3.0,2.0,212.0,1,2,installment,2023,3,121,7200.0,5.0,14.238423234812213,5.3612921657094255
